CPUTIME,PID,STARTBURST,ENDBURST,COMPLETED
0,1,596,556,0
43,2,222,182,0
86,3,123,83,0
129,4,209,169,0
172,5,609,569,0
215,6,814,774,0
258,7,204,164,0
301,8,308,268,0
344,9,333,293,0
387,1,556,516,0
430,2,182,142,0
473,3,83,43,0
516,4,169,129,0
559,5,569,529,0
602,6,774,734,0
645,7,164,124,0
688,8,268,228,0
731,9,293,253,0
774,1,516,476,0
817,2,142,102,0
860,3,43,3,0
903,4,129,89,0
946,5,529,489,0
989,6,734,694,0
1032,7,124,84,0
1075,8,228,188,0
1118,9,253,213,0
1161,1,476,436,0
1204,2,102,62,0
1247,3,3,0,1250
1253,4,89,49,0
1296,5,489,449,0
1339,6,694,654,0
1382,7,84,44,0
1425,8,188,148,0
1468,9,213,173,0
1511,1,436,396,0
1554,2,62,22,0
1597,4,49,9,0
1640,5,449,409,0
1683,6,654,614,0
1726,7,44,4,0
1769,8,148,108,0
1812,9,173,133,0
1855,1,396,356,0
1898,2,22,0,1920
1923,4,9,0,1932
1935,5,409,369,0
1978,8,108,68,0
2021,9,133,93,0
2064,1,356,316,0
2107,2,0,0,2107
2110,4,0,0,2110
2113,8,68,28,0
2156,9,93,53,0
2199,1,316,276,0
2242,2,0,0,2242
2245,8,28,0,2273
2276,9,53,13,0
2319,8,0,0,2319
2322,8,0,0,2322
TURNAROUND, AVG 
18475,2052.78
